"Baseline","Treated","Knockout"
394,60584,4
57,47929,12
144,2221,18
188,160021,28
150,3678,5
90,11715,6
453,5308,7
91,8323,6
753,13262,7
94,11957,9
369,9631,5
984,11760,28
25,4828,11
76,4694,10
88,828,13
189,5635,10
75,4635,9
7,575605,21
9,1296,9
374,12286,5
74,1064,12
17,1102,8
84,12057,8
337,2243,6
665,9973,12
65,5260,9
77,3983,13
17,480,9
158,1593,7
53,13090,19
158,23430,9
202,4774,16
282,10001,5
54,53889,8
166,86693,9
18,1929,8
46,8386,20
43,60633,10
9,4943,11
104,9243,6
123,8788,7
70,2641,16
213,5132,19
48,9568,19
25,5375,5
154,53126,28
44,4860,17
424,5222,10
65,28442,14
193,2050,6
138,9408,6
46,976,10
483,57589,5
190,6633,11
109,4957,19
132,1561,6
197,9884,7
109,3011,10
5,4492,6
133,68999,8
69,7685,15
120,2004,16
179,12774,12
405,5804,4
48,24230,10
368,85731,17
140,2256,15
282,19778,9
251,11358,3
206,38319,10
35,7085,13
91,35076,10
187,730,11
39,126062,12
58,36589,8
179,7976,19
216,1138,13
159,26235,5
41,20643,20
33,9905,18
454,12551,15
129,4164,4
109,17388,8
89,15558,14
30,6578,10
184,1347,12
80,28609,34
83,22963,7
254,2852,3
227,915,11
402,13599,7
62,5959,12
192,14607,7
402,1436,30
33,2372,9
42,50971,8
32,18325,9
23,24103,15
108,152235,10
192,12132,4
